isogroup	scaffold	start	end	annotation	lg	cM
isogroup=40880	c1509835	160864	161215	FOG: 7 transmembrane receptor ; histamine receptor H2 E=7e-07	1	94.552
isogroup=40883	c1350740	182010	182368	NA	3	243.328
isogroup=40885	c2336561	450721	450408	NA	7	663.622
isogroup=40884	c2028425	443247	443598	NA	2	136.261
isogroup=40887	c2501742	69570	69228	NA	6	584.849
isogroup=40886	c1271929	110027	109672	NA	1	59.089
isogroup=18371	c1724786	83040	84220	NA	4	342.416
isogroup=41689	c892540	59070	58932	NA	1	79.057
isogroup=41686	c1413499	345664	345350	NA	11	1074.977
isogroup=41683	c2438805	328521	328178	NA	12	1133.26
isogroup=7145	c885254	112243	113780	Predicted E3 ubiquitin ligase ; E3 ubiquitin-protein ligase ZNRF [EC:6.3.2.19] E=4e-50	6	590.194
isogroup=7147	c2260250	380409	379806	Ribulose kinase and related carbohydrate kinases ; glycerol kinase [EC:2.7.1.30] E=3e-177	8	786.178
isogroup=7140	c1903291	47316	46774	Protein kinase C substrate, 80 KD protein, heavy chain ; protein kinase C substrate 80K-H E=1e-25	14	1341.695
isogroup=24698	c1727753	368085	368917	NA	7	685.074
isogroup=24696	c2441680	255560	256305	NA	5	462.141
isogroup=24694	c1960666	83828	83082	NA	11	1072.371
isogroup=24695	c561343	156233	155915	NA	4	352.648
isogroup=7149	c2412538	46077	45438	Clathrin coat dissociation kinase GAK/PTEN/Auxilin and related tyrosine phosphatases ; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase [EC:3.1.3.67] E=2e-49	6	617.249
isogroup=24690	c2328114	373686	374429	Cytochrome c oxidase, subunit Va/COX6	1	4.239
isogroup=22939	c1258127	240432	240626	urease accessory protein E=4e-86	4	397.398
isogroup=22938	c1868152	108391	108045	NA	1	41.765
isogroup=22930	c1885765	43497	43018	NA	4	338.605
isogroup=22933	c2111098	278327	277392	NA	2	181.019
isogroup=22932	c1605889	637507	637866	sulfatase modifying factor 1 E=2e-47	4	379.539
isogroup=22935	c1868152	532277	531313	NA	1	39.428
isogroup=22936	c2328114	295317	296081	NA	1	4.239
isogroup=35838	c1876770	110444	110648	NA	12	1170.065
isogroup=24528	c388397	266354	266987	NA	5	490.143
isogroup=24520	c1890818	269742	269273	NA	4	404.787
isogroup=24521	c1766108	100921	100152	NA	9	876.702
isogroup=24522	c1112596	133239	132440	NA	3	227.454
isogroup=24523	c2412538	387874	387022	FOG: 7 transmembrane receptor ; leucokinin receptor E=3e-09	6	621.912
isogroup=24527	c1331472	146000	145315	NA	2	172.336
isogroup=29585	c1959899	319421	318877	NA	10	944.578
isogroup=29580	c483459	13486	13003	Tandem pore domain K+ channel TASK3/THIK-1 ; potassium channel subfamily K member 9 E=2e-19	3	292.253
isogroup=29583	c1969463	92736	92151	NA	8	775.897
isogroup=29588	c1397839	465618	465777	Nucleolar GTPase/ATPase p130	8	801.754
isogroup=34118	c1753837	97226	97682	NA	13	1242.166
isogroup=34116	c857488	326535	326969	NA	4	365.99
isogroup=34117	c917489	26310	26781	NA	4	371.578
isogroup=34111	c1694843	284906	284454	NA	7	703.245
isogroup=25243	c1814945	228923	228123	NA	13	1312.115
isogroup=22293	c1711211	19180	18690	U2 snRNP splicing factor, small subunit, and related proteins ; splicing factor U2AF 35 kDa subunit E=7e-64	8	786.689
isogroup=8141	c1380044	20584	19873	Prolyl 4-hydroxylase alpha subunit ; prolyl 4-hydroxylase [EC:1.14.11.2] E=3e-154	4	381.371
isogroup=22295	c2411551	261496	260700	NA	11	1068.748
isogroup=22207	c891247	9704	9149	NA	6	596.1
isogroup=22201	c2186193	58619	57609	Proteoglycan	5	481.232
isogroup=22209	c2028425	442193	443207	NA	2	136.261
isogroup=22208	c1966303	147361	146845	NA	3	274.37
isogroup=33468	c1929204	107394	107846	NA	2	168.735
isogroup=33465	c1486797	45205	44762	Protease, Ulp1 family	7	718.124
isogroup=15	c2111989	145703	148808	Extracellular matrix glycoprotein Laminin subunits alpha and gamma ; laminin, beta 1 E=1e-135	13	1290.859
isogroup=11	c1112596	133239	128763	Extracellular matrix glycoprotein Laminin subunits alpha and gamma ; laminin, alpha 3/5 E=1e-179	3	227.454
isogroup=10	c1945778	148080	150006	Uncharacterized conserved protein	7	700.817
isogroup=13	c1397839	209696	208980	dynein heavy chain, axonemal E=4e-83	8	806.106
isogroup=26670	c1112596	75570	75368	Extracellular matrix glycoprotein Laminin subunits alpha and gamma	3	242.558
isogroup=5726.1	c1391083	211581	210003	NA	14	1422.858
isogroup=638	c2438112	86837	85847	RNA-directed RNA polymerase QDE-1 required for posttranscriptional gene silencing and RNA interference ; RNA-dependent RNA polymerase 1 [EC:2.7.7.48] E=5e-173	2	204.633
isogroup=639	c1021649	289109	287946	Myosin VII, myosin IXB and related myosins ; myosin IX E=2e-120	9	857.252
isogroup=27180	c1800151	39529	40027	NA	14	1387.482
isogroup=27187	c1885556	298929	298242	FOG: 7 transmembrane receptor ; 5-hydroxytryptamine receptor 7 E=2e-11	1	48.674
isogroup=630	c1951106	17442	16172	Uncharacterized conserved protein	1	25.585
isogroup=631	c1853226	171053	169205	Phosphatidylinositol transfer protein	3	276.825
isogroup=632	c2433039	530343	533028	GTPase-activating protein VRP ; cell cycle arrest protein BUB2 E=2e-36	6	596.031
isogroup=633	c1406342	36977	36466	Kinesin-like protein ; kinesin family member 3/17 E=2e-82	6	613.24
isogroup=634	c2433039	625800	626880	Netrin transmembrane receptor unc-5 ; brain-specific angiogenesis inhibitor 2 E=9e-10	6	596.031
isogroup=635	c2217139	90315	87427	Cyclic nucleotide phosphodiesterase ; dual 3,5-cyclic-AMP and -GMP phosphodiesterase 11 [EC:3.1.4.17 3.1.4.35] E=4e-70	3	262.617
isogroup=636	c1766108	67951	68486	Nuclear protein export factor	9	880.411
isogroup=637	c1803350	731406	729164	RNA helicase ; regulator of nonsense transcripts 1 [EC:3.6.4.-] E=8e-101	1	35.667
isogroup=8146	c1503441	171155	169113	Nucleoside phosphatase ; ectonucleoside triphosphate diphosphohydrolase 5/6 [EC:3.6.1.6] E=6e-26	8	750.441
isogroup=11604	c894566	3222	3105	Collagens (type IV and type XIII), and related proteins ; collagen, type IV, alpha E=9e-53	7	634.974
isogroup=11607	c2326104	792785	794455	NA	1	54.094
isogroup=11606	c721405	147698	149351	Molybdopterin biosynthesis-related protein	5	514.46
isogroup=11601	c1509835	41711	43260	NA	1	89.347
isogroup=14235	c1247922	158485	159417	NA	9	910.979
isogroup=11602	c1380044	118029	116657	NA	4	379.419
isogroup=26584	c1929204	136220	135519	mannose receptor, C type E=4e-13	2	168.735
isogroup=26585	c139381	532221	532478	Subtilisin-like proprotein convertase ; tumor necrosis factor receptor superfamily member 1B E=6e-05	12	1127.802
isogroup=26587	c1814209	446064	446214	Ca2+/calmodulin-dependent protein phosphatase (calcineurin subunit B), EF-Hand superfamily protein ; protein phosphatase 3, regulatory subunit E=1e-92	13	1231.114
isogroup=26580	c1480326	239544	240181	NA	14	1414.614
isogroup=26582	c1787398	163616	164275	NA	6	566.325
isogroup=17760	c2408576	171986	173201	NA	11	1033.743
isogroup=17761	c1506025	245987	245206	NA	6	588.09
isogroup=17765	c2215268	377711	377067	RNA-binding protein RBM5 and related proteins, contain G-patch and RRM domains	4	347.213
isogroup=17767	c2379886	317337	318526	NA	3	278.121
isogroup=17768	c1879802	439624	440745	NA	2	136.79
isogroup=17769	c753180	387928	388764	FOG: 7 transmembrane receptor ; histamine receptor H2 E=3e-10	2	117.965
isogroup=187	c2217139	314324	315816	RNA helicase BRR2, DEAD-box superfamily ; pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13] E=6e-176	2	134.93
isogroup=18725	c1813332	113542	112379	NA	6	615.465
isogroup=18724	c1770459	163648	162731	GABA receptor ; gamma-aminobutyric acid (GABA) receptor, invertebrate E=1e-15	2	208.315
isogroup=18727	c1370645	239671	239033	Pseudouridylate synthase	5	439.045
isogroup=18726	c1642521	31746	32323	Peptidyl-prolyl cis-trans isomerase ; peptidyl-prolyl isomerase C (cyclophilin C) [EC:5.2.1.8] E=4e-95	1	43.82
isogroup=38587	c2255298	217222	216841	Lipid exporter ABCA1 and related proteins, ABC superfamily	10	1020.028
isogroup=188	c1857688	31731	33608	NA	7	687.552
isogroup=189	c1371088	45793	46716	Ca2+-modulated nonselective cation channel polycystin ; polycystin 1 E=4e-78	6	607.433
isogroup=29808	c2173185	456991	456808	NA	6	589.29
isogroup=29809	c1509251	242953	243525	NA	5	487.613
isogroup=38529	c2409131	160055	159667	NA	9	903.747
isogroup=3326	c622226	83628	83387	Alanine aminotransferase ; alanine transaminase [EC:2.6.1.2] E=9e-101	6	575.594
isogroup=29807	c1639767	124251	124656	NA	4	416.448
isogroup=41205	c1639767	24311	24656	NA	4	416.448
isogroup=16491	c2160749	233205	233753	NA	9	859.44
isogroup=16493	c1531306	130006	130600	NA	13	1245.249
isogroup=16492	c1326140	100688	101129	Thioredoxin binding protein TBP-2/VDUP1	6	629.638
isogroup=16495	c1503441	98518	97239	NA	8	740.591
isogroup=16496	c1640348	154290	153980	Multidomain protein, contains SPEC repeats, PH, SH3, and separate rac-specific and rho-specific guanine nucleotide exchange factor domains ; triple functional domain protein [EC:2.7.11.1] E=3e-07	10	966.178
isogroup=16498	c2192102	82155	81917	GABA-B ion channel receptor subunit GABABR1 and related subunits, G-protein coupled receptor superfamily ; gamma-aminobutyric acid (GABA) B receptor 2 E=9e-145	4	340.99
isogroup=1551	c2412538	415707	413425	Activin A type IB receptor, serine/threonine protein kinase ; TGF-beta receptor, invertebrate E=4e-37	6	621.912
isogroup=10269	c2409131	48890	49495	COPII vesicle protein	9	901.591
isogroup=8287	c58483	172055	171449	Cyclin ik3-1/CABLES	3	223.358
isogroup=10264	c139381	532221	532478	Subtilisin-like proprotein convertase	12	1127.802
isogroup=10265	c1374583	58100	58990	Integral membrane protease of the rhomboid family involved in different forms of regulated intramembrane proteolysis ; rhomboid-like protein [EC:3.4.21.105] E=3e-38	8	774.248
isogroup=10266	c1885556	91106	89839	Mitochondrial carrier protein	1	50.639
isogroup=10267	c1711537	431555	430885	Predicted membrane proteins, contain hemolysin III domain ; adiponectin receptor E=1e-69	13	1253.125
isogroup=41207	c1541403	9091	8800	NA	3	258.587
isogroup=10261	c2336561	167117	168221	NA	7	670.21
isogroup=1552	c1711537	110303	111073	Ras-related GTPase ; Ras-related protein Rab-7A E=2e-100	13	1255.51
isogroup=16143	c1081312	405055	405387	Mercaptopyruvate sulfurtransferase/thiosulfate sulfurtransferase ; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] E=1e-44	14	1347.638
isogroup=16140	c2478742	185182	184334	Transcription factor zerknullt and related HOX domain proteins ; homeobox protein GSH E=9e-112	5	474.94
isogroup=16147	c1559156	207298	206156	NA	6	578.824
isogroup=16146	c1523163	126846	127358	Predicted transposase	12	1174.59
isogroup=1557	c1673145	79446	77793	Voltage-gated Ca2+ channels, alpha1 subunits ; voltage-dependent calcium channel T type alpha-1H E=2e-96	11	1057.656
isogroup=1556	c1300534	172706	171710	NA	1	45.861
isogroup=13513	c2407255	362649	361169	NA	3	299.318
isogroup=13512	c1559156	381944	382595	NA	6	578.824
isogroup=13511	c733146	35211	34426	TGFbeta receptor signaling protein SMAD and related proteins ; SMAD, mothers against DPP 1/5/8 E=3e-153	5	494.799
isogroup=13510	c2182048	211875	212836	NA	13	1266.115
isogroup=13516	c1597072	244452	245780	NA	6	563.942
isogroup=13514	c1667901	50997	49758	NA	2	135.933
isogroup=13518	c753180	180132	180460	Ribosomal protein S6 kinase and related proteins ; serine/threonine kinase 32 [EC:2.7.11.1] E=2e-106	2	119.813
isogroup=338	c2013605	67605	64885	NA	9	835.913
isogroup=859	c1001084	26640	24703	Vitronectin receptor, alpha subunit ; integrin alpha 4 E=6e-100	7	685.77
isogroup=1316	c2192102	297639	296346	NA	4	335.183
isogroup=1315	c1531306	35538	34080	Serine/threonine protein kinase Chk2 and related proteins ; protein kinase D [EC:2.7.11.13] E=1e-124	13	1248.173
isogroup=1313	c2031013	128886	126297	G protein-coupled receptor kinase ; beta-adrenergic-receptor kinase [EC:2.7.11.15] E=1e-173	3	297.249
isogroup=1312	c83038	26641	22153	Large RNA-binding protein (RRM superfamily) ; ELAV like protein 2/3/4 E=3e-07	5	518.772
isogroup=1311	c1900513	125317	123011	Acyl-CoA synthetase ; propionyl-CoA synthetase [EC:6.2.1.17] E=2e-127	11	1081.769
isogroup=1310	c1611709	111800	112292	Collagens (type IV and type XIII), and related proteins ; collagen, type IV, alpha E=3e-68	1	78.803
isogroup=1318	c1233660	161537	159521	NA	5	510.053
isogroup=12642	c1480326	195790	196467	TNF receptor-associated factor	14	1414.614
isogroup=12644	c2335714	150275	150634	Pantothenate kinase PanK and related proteins ; type II pantothenate kinase [EC:2.7.1.33] E=2e-65	2	120.394
isogroup=12646	c1356045	174836	176334	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations ; arginine vasopressin receptor 2 E=1e-111	3	260.617
isogroup=12647	c2321558	24318	24064	G protein-coupled receptors ; latrophilin 2 E=1e-178	3	236.958
isogroup=12649	c2438805	471507	472151	Predicted Zn-dependent hydrolase (beta-lactamase superfamily) ; N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D [EC:3.1.4.-] E=1e-161	12	1132.069
isogroup=8332	c1753837	181174	181790	TPR repeat-containing protein	13	1242.166
isogroup=8333	c2038744	269188	268219	C-type lectin ; selectin, platele E=6e-93	1	66.822
isogroup=8330	c2355867	80149	80857	Permease of the major facilitator superfamily ; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other E=2e-100	2	148.013
isogroup=8331	c1321846	1081229	1079611	Transcription regulator XNP/ATRX, DEAD-box superfamily	8	808.373
isogroup=8338	c1721495	25742	25009	Galactoside-binding lectin	9	866.477
isogroup=8339	c1231179	40816	42199	GABA receptor ; gamma-aminobutyric acid (GABA) receptor, invertebrate E=8e-70	11	1021.028
isogroup=37179	c1166066	458634	458232	NA	13	1320.43
isogroup=37178	c1049963	143031	143433	NA	7	670.502
isogroup=37177	c772136	266905	266597	NA	4	326.751
isogroup=37175	c1890818	294759	294372	NA	4	404.787
isogroup=37173	c1732762	109152	108751	NA	13	1272.029
isogroup=12404	c1855353	281020	280307	Uncharacterized conserved protein	14	1405.722
isogroup=37170	c2038113	33281	33604	NA	7	646.344
isogroup=39409	c1321846	373632	373994	NA	8	804.906
isogroup=39401	c1247922	62325	61955	NA	9	907.656
isogroup=39400	c880894	37581	37482	NA	5	468.497
isogroup=39403	c1730470	145205	145575	NA	9	913.122
isogroup=39402	c1594382	38698	39040	Molecular co-chaperone STI1 ; kinesin light chain E=2e-15	1	54.275
isogroup=39404	c564625	30219	29882	NA	5	479.07
isogroup=39407	c2215268	564273	563906	NA	2	124.2
isogroup=39406	c1657122	47443	47073	NA	2	175.055
isogroup=2666	c772136	99471	100652	Kinesin (KAR3 subfamily) ; kinesin family member 3/17 E=4e-58	4	327.775
isogroup=2664	c1547727	265742	264331	Kinesin-like protein ; kinesin family member 6/9 E=1e-67	11	1080.619
isogroup=2662	c1467554	39524	37688	Transcription factor of the Forkhead/HNF3 family ; forkhead box protein K E=2e-146	11	1041.507
isogroup=2660	c2406142	127028	125905	Anaphase-promoting complex (APC), Cdc23 subunit ; anaphase-promoting complex subunit 6 E=4e-09	10	946.595
isogroup=2661	c1766758	14168	17602	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes ; actin-binding protein IPP E=9e-77	12	1163.882
isogroup=5128	c2438805	324241	326017	Ras-related GTPase ; Ras-related protein Rap-2A E=3e-54	12	1133.26
isogroup=5129	c1727753	307454	306666	Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit) ; protein disulfide-isomerase A1 [EC:5.3.4.1] E=1e-78	7	689.706
isogroup=5127	c2438112	185959	187985	NA	2	204.633
isogroup=5120	c2126668	415794	414406	Peroxidase/oxygenase	12	1142.985
isogroup=5122	c1257681	144458	146397	bHLHZip transcription factor BIGMAX ; MAX-like protein X E=1e-85	7	708.616
isogroup=5123	c187788	417092	416696	von Willebrand factor and related coagulation proteins ; meprin A, beta [EC:3.4.24.18] E=3e-77	13	1230.205
isogroup=28878	c1953541	386901	386601	NA	7	697.915
isogroup=31638	c738796	259761	259246	NA	3	246.865
isogroup=31639	c2332623	57398	57753	Subtilisin-like proprotein convertase	5	465.046
isogroup=31632	c388397	161213	160738	NA	5	490.143
isogroup=31630	c852111	3125	2612	NA	1	32.864
isogroup=31636	c2104237	243039	242538	NA	1	63.688
isogroup=31637	c2402279	30428	29913	NA	6	588.537
isogroup=14178	c1790586	51559	50455	NA	11	1059.305
isogroup=14179	c2509380	215976	216293	protein RtcB E=7e-13	5	471.109
isogroup=30589	c1969463	109993	109470	NA	8	775.897
isogroup=30587	c2192102	462851	463391	NA	4	335.183
isogroup=30586	c1547727	323636	323879	Regulatory protein MLP and related LIM proteins ; cysteine and glycine-rich protein E=4e-35	11	1080.619
isogroup=14176	c1550546	125757	126448	tRNA delta(2)-isopentenylpyrophosphate transferase	2	128.349
isogroup=14177	c302315	119254	119931	NA	10	1007.462
isogroup=38756	c2407255	99695	99986	NA	11	1053.687
isogroup=38757	c2170765	92158	91779	NA	13	1307.785
isogroup=20329	c1380044	103596	104316	NA	4	379.419
isogroup=38751	c1166066	384555	384922	NA	13	1320.43
isogroup=31180	c1489382	113882	113353	NA	3	301.469
isogroup=31183	c1122836	211478	211140	NA	8	739.318
isogroup=12069	c1278580	83184	82310	NA	12	1164.834
isogroup=3207	c2039658	141995	142287	Rho-GTPase activating protein ; Rho GTPase-activating protein 5 E=2e-07	2	150.128
isogroup=3204	c1067544	269382	268158	Peroxisomal long-chain acyl-CoA transporter, ABC superfamily ; ATP-binding cassette, subfamily D (ALD), member 1 E=3e-94	14	1422.0
isogroup=3203	c2438805	604633	605363	Aldehyde dehydrogenase ; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6] E=5e-178	12	1129.717
isogroup=3202	c1895421	93139	93583	Actin and related proteins ; actin, other eukaryote E=2e-163	12	1191.765
isogroup=3201	c1073301	158306	157647	NA	14	1363.142
isogroup=3200	c1814209	408624	406574	Pyruvate dehydrogenase E1, alpha subunit ; 2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4] E=7e-153	13	1231.114
isogroup=3530.1	c2111098	168191	167731	NA	2	185.099
isogroup=41899	c2038744	39038	38697	NA	1	67.144
isogroup=21756	c1406777	2437	1988	NA	5	491.204
isogroup=21757	c2496625	276622	276097	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) ; carbonyl reductase (NADPH) [EC:1.1.1.184] E=7e-47	7	637.882
isogroup=26418	c42190	149676	150045	NA	3	237.343
isogroup=26419	c1411463	79912	80648	Putative transcription factor HALR/MLL3, involved in embryonic development	8	766.554
isogroup=24503	c1967874	158392	158090	NA	2	114.196
isogroup=24500	c1004953	36752	35906	NA	8	736.304
isogroup=42353	c2038744	183291	183627	NA	1	67.144
isogroup=42352	c2297065	309755	310088	NA	10	978.439
isogroup=42350	c2478742	314095	314418	NA	5	473.491
isogroup=42357	c1376569	371047	370707	NA	2	147.26
isogroup=42356	c1451773	54625	54684	NA	6	595.689
isogroup=42355	c1564364	300667	300885	NA	5	433.971
isogroup=42354	c2467517	273149	273439	myeloperoxidase [EC:1.11.1.7] E=1e-05	3	250.959
isogroup=41917	c1480326	98167	98341	NA	14	1414.614
isogroup=41911	c692458	1142	1482	NA	6	605.321
isogroup=41912	c2501742	68793	69133	Prolyl 4-hydroxylase alpha subunit ; hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-] E=8e-35	6	584.849
isogroup=41913	c2154778	223639	223299	NA	4	364.655
isogroup=26412	c525759	72823	73413	C-type lectin ; CD209 antigen E=2e-13	12	1165.757
isogroup=41919	c1067544	585016	585081	NA	14	1422.0
isogroup=30379	c2338234	368370	368015	Fibroblast/platelet-derived growth factor receptor and related receptor tyrosine kinases ; fibroblast growth factor receptor 3 [EC:2.7.10.1] E=4e-33	2	118.332
isogroup=20565	c1253424	223788	223354	NADH-ubiquinone oxidoreductase, NDUFS3/30 kDa subunit ; NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:1.6.5.3 1.6.99.3] E=7e-86	6	583.136
isogroup=37911	c382711	60617	60433	NA	11	1079.474
isogroup=25630	c187788	37088	37139	NA	13	1235.75
isogroup=37915	c1895421	210916	210525	NA	2	189.258
isogroup=37919	c1163491	178623	178741	NA	13	1278.691
isogroup=39185	c1504605	220790	221163	NA	4	376.614
isogroup=39186	c1504605	99408	99781	NA	4	376.614
isogroup=39187	c1470819	152917	153279	NA	1	86.15
isogroup=28208	c1640348	318918	319557	NA	10	966.178
isogroup=39182	c608216	75197	74848	NA	7	671.143
isogroup=43409	c388397	332160	332482	NA	5	490.143
isogroup=34467	c49388	208487	208048	NA	3	265.776
isogroup=34460	c863073	51757	52203	LRR-containing protein ; NACHT, LRR and PYD domains-containing protein 1 E=7e-74	5	494.287
isogroup=34462	c1233660	157832	158152	NA	5	510.053
isogroup=43401	c1122836	189800	189507	NA	8	739.318
isogroup=22481	c151167	157515	156569	NA	13	1256.923
isogroup=25452	c1616442	121876	121607	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	6	544.68
isogroup=7436	c2096175	84935	84298	Uncharacterized conserved protein, contains JmjC domain	2	203.528
isogroup=7437	c1633648	186844	187393	von Willebrand factor and related coagulation proteins ; von Willebrand factor E=1e-06	1	26.128
isogroup=7430	c1900513	67526	65434	FOG: 7 transmembrane receptor ; trace amine associated receptor E=7e-17	11	1081.769
isogroup=7431	c1209281	285610	286688	Predicted quinone oxidoreductase ; NADPH2:quinone reductase [EC:1.6.5.5] E=2e-24	8	764.299
isogroup=7433	c58483	292960	291699	NA	3	236.324
isogroup=25450	c139381	525568	524963	NA	12	1127.802
isogroup=22484	c2338037	796401	795568	NA	14	1423.066
isogroup=31033	c1504122	42813	42500	NA	12	1180.805
isogroup=31035	c1899612	194282	194805	NA	8	814.07
isogroup=1878	c2150838	329895	330490	L-fucose kinase ; fucokinase [EC:2.7.1.52] E=1e-168	6	548.91
isogroup=1879	c1682997	131238	132650	Ca2+/Na+ exchanger NCX1 and related proteins ; solute carrier family 8 (sodium/calcium exchanger) E=1e-136	11	1073.987
isogroup=34133	c139381	750654	750199	NA	12	1126.373
isogroup=1872	c2326104	629920	632818	NA	1	54.094
isogroup=1870	c1891549	666190	666385	Selective LIM binding factor	3	311.576
isogroup=1871	c1269642	104756	106516	Uncharacterized conserved protein	3	290.017
isogroup=1875	c1098852	30524	28911	Nerve growth factor receptor TRKA and related tyrosine kinases ; PTK7 protein tyrosine kinase 7 [EC:2.7.10.1] E=4e-49	14	1382.866
isogroup=13258	c1053873	9102	7943	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145] E=3e-151	4	335.946
isogroup=13250	c151167	306352	307862	NA	13	1258.191
isogroup=13251	c1730470	287336	286474	Thioredoxin/protein disulfide isomerase ; protein disulfide-isomerase A4 [EC:5.3.4.1] E=1e-39	9	907.983
isogroup=13252	c1617727	140589	139580	Dual specificity phosphatase ; dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] E=9e-22	6	555.947
isogroup=13253	c2516308	242493	240993	Ras-related GTPase ; Ras family, other E=4e-132	6	553.903
isogroup=13256	c1437470	63909	62838	Predicted membrane protein, contains DoH and Cytochrome b-561/ferric reductase transmembrane domains	14	1382.264
isogroup=13257	c1387754	220586	221930	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations ; cell division cycle 20-like protein 1, cofactor of APC complex E=1e-147	12	1151.597
isogroup=4314	c1787398	369107	370029	chondroitin sulfate synthase [EC:2.4.1.175 2.4.1.226] E=1e-155	6	556.38
isogroup=4315	c2192102	108971	108541	Dopey and related predicted leucine zipper transcription factors	4	335.183
isogroup=4316	c2336561	150914	152752	Zn-finger protein ; ring finger and CHY zinc finger domain-containing protein 1 E=7e-112	7	670.21
isogroup=4310	c1527580	233009	230186	DNA topoisomerase III alpha ; DNA topoisomerase III [EC:5.99.1.2] E=9e-34	1	83.759
isogroup=4311	c1951106	283845	284266	U5 snRNP-specific protein ; elongation factor 2 E=9e-41	1	20.068
isogroup=4313	c1047043	56243	56893	long-chain acyl-CoA synthetase [EC:6.2.1.3] E=2e-142	9	870.114
isogroup=34135	c1530838	26188	25733	NA	2	134.127
isogroup=4318	c1597072	391088	389670	FOG: RRM domain	6	563.942
isogroup=41768	c2406142	75343	75017	Monocarboxylate transporter ; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10 E=7e-61	2	186.068
isogroup=33115	c2467517	287295	287002	Peroxidase/oxygenase ; myeloperoxidase [EC:1.11.1.7] E=2e-81	3	250.959
isogroup=33117	c2328114	337838	338066	Collagens (type IV and type XIII), and related proteins ; collagen, type VI, alpha E=3e-10	1	4.239
isogroup=33110	c1681116	25290	24837	NA	2	150.955
isogroup=33113	c882547	198010	197531	NA	1	49.459
isogroup=33119	c1967874	163336	163761	NA	2	114.196
isogroup=12625	c2402279	92303	91525	Regulator of nuclear mRNA ; calcium homeostasis endoplasmic reticulum protein E=9e-07	6	588.537
isogroup=42439	c1503441	252878	252704	NA	8	732.166
isogroup=42436	c1265210	69568	69802	HIV-1 Vpr-binding protein ; HIV-1 Vpr-binding protein E=4e-27	12	1194.983
isogroup=42434	c1186705	242163	241987	potassium channel subfamily K, invertebrate E=8e-13	12	1166.137
isogroup=42432	c2328114	9587	9252	NA	1	9.928
isogroup=42430	c83038	215675	215377	NA	5	518.772
isogroup=44178	c2297065	370703	370972	NA	10	975.895
isogroup=44174	c1081312	210875	210557	NA	14	1354.41
isogroup=44176	c2192102	341089	341378	NA	4	335.183
isogroup=44170	c1530467	213949	213622	NA	9	851.495
isogroup=45806	c1480326	204073	204377	NA	14	1414.614
isogroup=45807	c1509251	212332	212028	NA	5	487.613
isogroup=45804	c2396761	192527	192223	NA	6	633.974
isogroup=45805	c1605889	134424	134120	NA	4	375.799
isogroup=45803	c2409131	108011	108302	NA	9	901.591
isogroup=45800	c2255298	252771	253075	NA	10	1020.028
isogroup=45801	c692458	14331	14633	NA	6	605.321
isogroup=45808	c2050722	17359	17666	NA	1	17.676
isogroup=18259	c2512412	221945	221182	NA	2	204.944
isogroup=18258	c2031013	121072	121989	Transcription factor BarH and related HOX domain proteins ; BarH-like homeobox E=1e-63	3	297.249
isogroup=27967	c1353965	405387	405028	NA	2	119.169
isogroup=27960	c2111098	802695	803342	NA	10	929.903
isogroup=27963	c2294247	46872	46272	NA	10	975.387
isogroup=27962	c772136	280418	280925	FOG: Leucine rich repeat	4	326.751
isogroup=18250	c1451269	94997	94460	NA	1	57.467
isogroup=18252	c1258127	19794	19162	NA	4	400.446
isogroup=18255	c2338525	251992	250803	NA	7	654.483
isogroup=18257	c139381	164374	164872	NA	12	1119.039
isogroup=41289	c1711537	125850	125504	NA	13	1255.51
isogroup=46447	c2461275	163183	162887	NA	1	84.186
isogroup=46445	c1081312	254925	255117	Galactosyltransferases ; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134] E=6e-15	14	1354.41
isogroup=46444	c2156202	121892	122169	NA	13	1260.123
isogroup=46443	c1487044	281997	282264	NA	12	1144.103
isogroup=46442	c2303909	9655	9356	26S proteasome regulatory complex, subunit PSMD10 ; ankyrin E=5e-63	1	54.697
isogroup=46441	c1753590	53847	54139	NA	3	256.781
