lg	variant	cM
10	c2438805_567018	905.216
10	c2438805_518502	907.599
10	c139381_450115	908.473
10	c2126668_132655	912.084
10	c2438805_547292	914.705
10	c2216172_421919	916.889
10	c139381_584382	918.171
10	c2167205_210391	922.391
10	c1523163_78504	928.865
10	c1523163_78499	929.877
10	c1806132_57642	930.42
10	c1356584_20657	932.632
10	c1947852_68235	934.038
10	c1071417_16462	934.999
10	c767558_64858	935.383
10	c488645_66971	935.874
10	c2031213_34262	936.055
10	c1766758_88404	936.505
10	c767558_50281	937.079
10	c349278_7461	937.808
10	c349278_3300	938.295
10	c595759_13953	938.619
10	c1273661_63092	939.384
10	c349278_3026	939.482
10	c1825163_54205	939.561
10	c349278_3285	939.685
10	c1766758_21191	939.808
10	c1825163_54217	939.957
10	c1511109_126746	940.399
10	c697524_57018	940.67
10	c1766758_88630	941.247
10	c1384495_13934	941.488
10	c1876770_127715	941.622
10	c2476727_207208	942.024
10	c1278580_190266	942.875
10	c525759_93307	943.896
10	c1186705_135089	944.128
10	c1876770_150654	944.324
10	c560379_23630	945.102
10	c2364613_18416	947.512
10	c734884_14484	947.512
10	c1326549_66009	948.942
10	c2098330_30385	950.373
10	c2098330_30380	950.373
10	c1071417_23531	951.071
10	c1612776_141041	951.346
10	c1529258_9947	951.851
10	c1612776_141062	952.233
10	c1254804_72543	953.908
10	c1867792_1946	956.512
10	c812998_85508	960.85
10	c698922_78727	962.598
10	c812998_49320	963.731
10	c2483218_66400	963.916
10	c550871_621	964.529
10	c1294803_168121	964.734
10	c1273898_15095	966.156
10	c1413499_110449	969.989
10	c587076_36626	970.585
10	c1302918_109765	971.88
10	c1265210_49398	972.957
10	c1265210_49409	972.957
10	c587076_68091	973.922
10	c587076_36641	974.361
10	c1901282_92193	976.022
10	c1238636_48812	976.321
10	c2079257_233143	977.112
10	c1413499_119166	978.707
10	c511982_1659	979.023
10	c1070568_32981	979.192
10	c2079257_181784	980.241
10	c1515463_36804	982.961
10	c1515463_127812	984.073
10	c1515463_346856	984.717
10	c1515463_346935	986.025
10	c2375747_78229	987.674
10	c1515463_107469	992.828
11	c2406142_588383	993.828
11	c2297065_153907	999.813
11	c2025353_345531	1001.84
11	c1116215_1791	1003.352
11	c883636_41356	1006.517
11	c961492_32425	1008.701
11	c2025353_173352	1009.194
11	c1640348_220505	1009.465
11	c2025353_310778	1011.03
11	c2025353_98304	1011.311
11	c2025353_131116	1011.717
11	c218424_131007	1012.332
11	c1639952_225495	1012.449
11	c1639952_72953	1013.092
11	c2294247_24224	1013.249
11	c16586_22773	1013.505
11	c2025353_98315	1013.881
11	c1639952_171694	1013.923
11	c2080678_220762	1014.644
11	c2294247_107837	1014.672
11	c1403335_23152	1014.906
11	c2025353_400397	1015.172
11	c2025353_400396	1015.172
11	c2294247_135296	1015.26
11	c993999_134262	1015.312
11	c1525339_93688	1015.628
11	c1525339_190394	1015.927
11	c1239020_176729	1015.942
11	c1395156_99236	1016.156
11	c94894_22763	1016.273
11	c1525339_162597	1016.621
11	c993999_160043	1016.958
11	c1525339_95938	1017.293
11	c1639952_72972	1017.303
11	c1467176_10824	1017.377
11	c2018213_7508	1017.97
11	c2018213_7507	1018.368
11	c1899919_71161	1019.068
11	c1639952_109265	1019.252
11	c894234_57735	1019.773
11	c1525339_95919	1020.743
11	c894777_37398	1021.453
11	c1525339_162589	1023.015
11	c875805_45236	1023.709
11	c368792_59805	1029.236
11	c2048088_118111	1035.013
11	c2048088_336634	1035.544
11	c2406142_294099	1035.558
11	c2406142_288824	1040.825
11	c1529150_461657	1041.28
11	c999969_20751	1042.894
11	c1529150_119762	1044.399
11	c1529150_290216	1047.162
11	c986684_148313	1051.289
11	c986684_148308	1051.289
11	c302315_80641	1051.478
11	c1138750_128825	1059.556
12	c2433955_184765	1060.556
12	c2517366_278046	1060.949
12	c2433955_226167	1063.556
12	c2433955_278678	1066.248
12	c2517366_273148	1066.58
12	c1701407_294522	1067.582
12	c2433955_342205	1068.643
12	c1701407_106539	1069.353
12	c2433955_379635	1071.004
12	c1237576_227799	1072.664
12	c2433955_487767	1073.382
12	c1237576_34950	1075.84
12	c1237576_261379	1077.395
12	c1392075_119654	1078.204
12	c1237576_318759	1079.48
12	c1392075_365245	1080.863
12	c1276544_181165	1083.499
12	c1392075_729743	1084.164
12	c1086178_4076	1085.162
12	c1867251_143358	1087.222
12	c1900513_376722	1089.312
12	c1900513_376725	1089.312
12	c1900513_373435	1089.996
12	c1900513_225008	1090.744
12	c1900513_374554	1091.276
12	c866577_52318	1093.452
12	c1682997_149570	1094.322
12	c1547727_231260	1094.493
12	c1269940_27040	1095.769
12	c1811180_508737	1097.044
12	c1811180_397333	1097.164
12	c1413499_135502	1097.723
12	c1811180_63238	1097.92
12	c1547727_61708	1098.075
12	c1413499_135488	1098.216
12	c1811180_508745	1098.59
12	c1413499_339562	1099.252
12	c121571_88148	1099.489
12	c1413499_339572	1099.49
12	c1811180_446472	1100.058
12	c625461_500546	1100.625
12	c625461_151933	1101.083
12	c2165933_136196	1101.201
12	c2430742_529105	1101.614
12	c2437667_285044	1101.927
12	c1960666_32043	1101.952
12	c1960666_45644	1102.02
12	c625461_48784	1102.18
12	c625461_221553	1102.814
12	c1704266_49283	1103.284
12	c1102701_70676	1103.528
12	c1704266_49284	1103.563
12	c625461_497633	1103.617
12	c2430742_414992	1103.632
12	c1413499_328332	1104.452
12	c1269940_225417	1105.261
12	c2411551_211946	1105.625
12	c701548_44864	1107.309
12	c1089630_13304	1108.93
12	c1524132_21356	1109.288
12	c1524132_21348	1109.754
12	c1524132_53015	1110.402
12	c944390_37878	1111.005
12	c944390_8075	1111.481
12	c608553_14377	1112.962
12	c608553_14402	1112.963
12	c1790586_346046	1113.706
12	c1704843_65597	1114.728
12	c1495536_32716	1115.194
12	c1790586_77852	1115.703
12	c1673145_50111	1116.211
12	c1681168_87935	1116.793
12	c1639439_185695	1118.116
12	c1098898_174417	1118.767
12	c1639439_320748	1119.349
12	c1540777_188916	1120.446
12	c2407255_64406	1120.867
12	c1639439_293366	1121.863
12	c1370513_87350	1123.237
12	c1398849_23637	1123.43
12	c1604454_5612	1124.647
12	c1540777_213399	1125.661
12	c1540777_275811	1126.04
12	c1359783_63333	1126.692
12	c1359783_46404	1127.006
12	c1641688_61377	1128.806
12	c1383587_271095	1129.021
12	c1641688_176236	1129.662
12	c1383587_56972	1131.619
12	c1467554_6217	1132.449
12	c1467554_6215	1132.808
12	c2030320_344794	1133.138
12	c2515247_59821	1133.32
12	c2408576_126300	1133.569
12	c1359783_149942	1133.975
12	c2515247_130290	1134.071
12	c2030320_177405	1135.28
12	c2515247_21861	1135.911
12	c1785485_85601	1136.085
12	c2396365_36340	1136.713
12	c1400461_80647	1136.754
12	c2030320_252261	1137.396
12	c1230921_265281	1137.961
12	c2030320_148611	1138.809
12	c1641688_41567	1139.02
12	c1641688_41562	1139.101
12	c1383587_287094	1141.287
12	c1231179_210011	1142.38
12	c666183_158742	1143.429
12	c666183_162665	1145.365
12	c1231179_172685	1145.565
12	c666183_267804	1146.537
12	c1383587_110168	1146.735
12	c666183_267810	1148.118
12	c1251503_188225	1151.261
12	c1231179_43832	1153.562
13	c2214146_200924	1154.562
13	c187788_240538	1157.756
13	c1814209_187272	1160.469
13	c1814209_42033	1161.623
13	c1264386_10156	1162.843
13	c1145365_168662	1163.768
13	c1814209_290745	1164.29
13	c1814209_187439	1164.309
13	c1145365_173638	1164.367
13	c1972422_170407	1165.447
13	c187788_389819	1166.237
13	c1814209_494925	1166.856
13	c1972422_170387	1167.395
13	c908618_145582	1169.88
13	c187788_44467	1171.256
13	c908618_140405	1172.093
13	c187788_9017	1172.295
13	c908618_196530	1173.206
13	c908618_196551	1173.778
13	c2882_647	1174.76
13	c1753837_198069	1177.928
13	c1531306_108889	1180.893
13	c1531306_192002	1181.822
13	c1531306_107581	1183.903
13	c2021939_75284	1184.525
13	c2021939_539	1184.921
13	c2021939_124001	1185.995
13	c1711537_280670	1186.703
13	c2021939_283116	1187.396
13	c2021939_261853	1188.34
13	c2021939_105649	1188.643
13	c1763013_95231	1189.486
13	c151167_191342	1191.831
13	c151167_262052	1192.695
13	c151167_23705	1192.957
13	c2156202_129143	1196.133
13	c2156202_37747	1197.791
13	c1381596_86341	1199.259
13	c568938_42913	1200.337
13	c1932090_103762	1201.526
13	c1163491_81593	1201.852
13	c1932090_148484	1202.448
13	c1234152_35721	1202.618
13	c662103_127558	1204.104
13	c662103_127532	1204.587
13	c857488_376354	1204.754
13	c1572152_70825	1205.237
13	c662103_170410	1205.914
13	c1404304_8105	1206.131
13	c103885_68054	1206.471
13	c1404304_24493	1207.15
13	c568938_42910	1207.564
13	c1625311_126572	1208.184
13	c1732762_48344	1208.341
13	c662103_128346	1209.171
13	c2111989_223506	1209.545
13	c1732762_48357	1209.734
13	c1572152_133918	1210.519
13	c1703633_60473	1210.565
13	c1163491_299623	1211.501
13	c1516466_116359	1211.636
13	c389769_111208	1212.208
13	c662103_121755	1212.766
13	c2182048_292678	1213.391
13	c1516466_61525	1213.865
13	c1234152_103464	1214.491
13	c2463333_41511	1219.021
13	c91150_34992	1219.634
13	c2111989_234776	1225.486
13	c684487_47881	1226.618
13	c2111989_234796	1226.822
13	c1075597_98279	1229.669
13	c1537726_15549	1233.816
13	c1745584_32310	1237.066
13	c1270813_29200	1238.677
13	c2097345_205991	1240.669
13	c1814945_125665	1241.442
13	c2097345_219941	1241.884
13	c2170765_448293	1243.368
13	c2338234_12699	1244.006
13	c2338234_12691	1244.006
13	c2338234_12688	1244.006
13	c1166066_288363	1249.926
13	c2373953_288751	1251.598
13	c2373953_25471	1252.603
13	c1888154_349421	1253.092
13	c1166066_221744	1253.764
13	c1166066_301671	1255.208
13	c1150490_123616	1255.458
13	c1166066_419649	1255.651
13	c1166066_221634	1255.708
13	c1888154_4315	1256.137
13	c2373953_53087	1256.622
13	c1166066_127054	1257.753
13	c1274056_17050	1258.074
13	c1274056_17061	1258.816
13	c1888154_348815	1260.079
14	c391337_83698	1261.079
14	c967499_93531	1262.983
14	c1789852_37514	1264.684
14	c1726340_97559	1266.124
14	c1789852_111662	1267.153
14	c1789852_111664	1267.153
14	c1789852_196507	1267.806
14	c1789852_137667	1268.002
14	c1081312_31768	1269.17
14	c1789852_119296	1269.568
14	c1057819_123651	1269.799
14	c1081312_220782	1270.092
14	c1081312_220778	1270.525
14	c1057819_95803	1271.433
14	c1903291_135132	1273.271
14	c1057819_23319	1273.55
14	c1081312_20773	1273.814
14	c1903291_144675	1274.706
14	c1081312_324662	1275.482
14	c1081312_41566	1275.627
14	c1081312_25346	1275.673
14	c1688191_7079	1279.322
14	c1688191_40781	1281.329
14	c799597_60638	1284.47
14	c1038927_159801	1285.766
14	c1688191_256378	1286.529
14	c2019948_113296	1287.22
14	c2019948_113274	1287.22
14	c1378457_82817	1289.347
14	c1688191_33508	1289.811
14	c1073301_29317	1290.822
14	c1073301_41129	1291.936
14	c1378457_90024	1293.5
14	c1378457_90003	1293.5
14	c1098440_16499	1295.895
14	c1723324_261728	1298.788
14	c1210588_71627	1300.347
14	c897680_68276	1301.034
14	c1630077_57488	1302.881
14	c1180752_7174	1305.136
14	c1404241_57271	1306.164
14	c1404241_57272	1306.343
14	c996076_12895	1306.764
14	c1404241_57250	1307.483
14	c295958_42221	1308.861
14	c998407_20326	1308.893
14	c361913_37741	1310.089
14	c1617293_25501	1310.827
14	c563529_18341	1311.09
14	c563529_18344	1311.09
14	c1098852_55078	1311.36
14	c1437470_79418	1311.689
14	c1437470_79407	1311.689
14	c1617293_35832	1312.013
14	c2298829_60586	1312.396
14	c998407_94602	1312.593
14	c1716477_13055	1312.976
14	c998407_32002	1313.241
14	c998407_31998	1313.241
14	c1231179_337889	1313.669
14	c760602_5748	1314.025
14	c1716477_2662	1314.574
14	c58099_2185	1315.229
14	c1640348_298591	1318.397
14	c1733810_41690	1318.509
14	c1059298_156273	1322.055
14	c880226_37182	1326.559
14	c164145_5566	1326.824
14	c164145_136883	1329.531
14	c1855353_320651	1331.878
14	c1855353_113500	1333.706
14	c1855353_233793	1335.201
14	c1733810_19462	1336.923
14	c1855353_386782	1337.131
14	c1855353_378116	1339.546
14	c594145_94141	1341.312
14	c594145_270736	1341.589
14	c594145_94144	1342.035
14	c1480326_306589	1343.391
14	c2149701_58363	1343.607
14	c594145_115799	1345.511
14	c1807228_62170	1347.947
14	c1807228_211904	1348.331
14	c1067544_293353	1350.159
14	c2338037_1066857	1350.659
14	c2338037_914678	1351.557
14	c1391083_88776	1352.664
14	c2338037_66053	1358.004
